10-16 08:27:Logons=12, hits=344
10-16 21:46:Logons=29, hits=992
10-16 21:46:Logons=1, hits=22
10-16 21:49:Logons=2, hits=23
10-16 21:50:Logons=1, hits=16
10-17 08:51:Logons=2, hits=124
10-18 16:06:Logons=13, hits=286
10-19 08:22:Logons=0, hits=0
10-20 14:31:Logons=0, hits=3
10-21 09:49:Logons=3, hits=134
10-23 21:51:Logons=51, hits=1211
10-24 13:01:Logons=6, hits=255
10-25 09:35:Logons=32, hits=674
10-26 12:03:Logons=62, hits=848
10-27 12:49:Logons=36, hits=638
10-28 16:17:Logons=13, hits=330
10-28 16:23:Logons=3, hits=60
10-28 16:32:Logons=2, hits=61
10-28 16:32:Logons=0, hits=2
10-28 16:36:Logons=0, hits=1
10-28 16:38:Logons=1, hits=19
10-28 22:57:Logons=26, hits=412
10-28 23:00:Logons=4, hits=23
10-28 23:03:Logons=4, hits=26
10-29 14:10:Logons=2, hits=16
10-29 20:03:Logons=2, hits=59
10-30 09:55:Logons=18, hits=405
10-31 15:29:Logons=36, hits=698
11-01 13:13:Logons=27, hits=906
11-04 12:28:Logons=13, hits=404
11-04 17:19:Logons=15, hits=372
11-05 11:11:Logons=12, hits=293
11-05 18:50:Logons=44, hits=742
11-05 18:50:Logons=0, hits=8
11-05 18:51:Logons=0, hits=15
11-05 19:10:Logons=11, hits=171
11-05 19:11:Logons=0, hits=15
11-06 08:49:Logons=5, hits=84
11-07 10:01:Logons=9, hits=172
11-08 00:24:Logons=23, hits=487
11-09 19:39:Logons=6, hits=121
11-12 09:12:Logons=1, hits=17
11-13 11:11:Logons=19, hits=429
11-13 17:43:Logons=30, hits=656
11-13 17:44:Logons=1, hits=25
11-13 17:52:Logons=1, hits=23
11-13 19:33:Logons=9, hits=274
11-13 22:29:Logons=15, hits=882
11-14 13:36:Logons=7, hits=682
11-16 00:00:Logons=183, hits=18878
11-17 00:00:Logons=231, hits=20657
11-18 00:00:Logons=180, hits=17791
11-26 09:02:Logons=73, hits=8830
11-26 09:53:Logons=7, hits=165
11-26 12:15:Logons=4, hits=118
11-27 14:26:Logons=2, hits=54
11-28 09:36:Logons=6, hits=258
11-28 15:00:Logons=16, hits=626
11-29 07:34:Logons=18, hits=531
12-01 14:42:Logons=27, hits=642
12-05 16:13:Logons=0, hits=0
12-12 14:45:Logons=0, hits=0
12-23 13:05:Logons=3, hits=26
12-24 14:01:Logons=1, hits=21
12-26 11:18:Logons=0, hits=3
12-27 10:22:Logons=0, hits=0
12-28 10:45:Logons=26, hits=414
12-28 15:32:Logons=26, hits=508
12-28 15:33:Logons=1, hits=4
12-28 15:33:Logons=1, hits=8
12-28 15:34:Logons=1, hits=12
12-28 15:57:Logons=2, hits=37
12-28 15:58:Logons=0, hits=3
12-28 15:58:Logons=0, hits=0
12-28 15:59:Logons=1, hits=8
12-28 16:00:Logons=0, hits=0
12-28 16:10:Logons=1, hits=12
12-28 16:10:Logons=0, hits=0
12-28 16:11:Logons=0, hits=0
12-28 16:12:Logons=0, hits=11
12-28 16:12:Logons=0, hits=3
12-28 16:12:Logons=0, hits=0
12-28 16:15:Logons=0, hits=3
12-28 16:15:Logons=0, hits=0
12-28 16:15:Logons=0, hits=0
12-28 16:15:Logons=0, hits=0
12-28 16:16:Logons=0, hits=1
12-28 16:17:Logons=0, hits=0
12-28 16:18:Logons=0, hits=5
12-28 16:19:Logons=0, hits=0
12-28 16:19:Logons=0, hits=0
12-28 16:19:Logons=0, hits=0
12-28 16:19:Logons=0, hits=0
12-28 16:19:Logons=0, hits=0
12-29 12:44:Logons=1, hits=23
12-29 16:25:Logons=13, hits=296
12-29 16:25:Logons=0, hits=0
12-29 16:25:Logons=0, hits=0
12-29 16:25:Logons=0, hits=0
12-29 16:25:Logons=0, hits=0
01-04 10:25:Logons=4, hits=59
01-04 10:28:Logons=0, hits=7
01-04 10:28:Logons=0, hits=0
01-04 10:28:Logons=0, hits=0
01-04 10:28:Logons=0, hits=0
01-04 10:28:Logons=0, hits=0
01-04 10:42:Logons=1, hits=22
01-04 10:43:Logons=0, hits=0
01-04 10:59:Logons=1, hits=14
01-04 11:07:Logons=4, hits=47
01-04 11:08:Logons=0, hits=0
02-22 12:07:Logons=7, hits=371
03-28 10:18:Logons=0, hits=9
03-28 10:18:Logons=0, hits=0
04-12 17:32:Logons=1, hits=138
04-12 17:35:Logons=2, hits=76
04-12 18:00:Logons=0, hits=0
04-12 18:01:Logons=0, hits=0
04-12 18:04:Logons=0, hits=0
04-12 18:04:Logons=0, hits=0
11-15 13:38:Logons=0, hits=7
11-16 15:55:Logons=0, hits=0
11-18 09:52:Logons=2, hits=205
11-19 13:44:Logons=2, hits=148
11-20 00:00:Logons=9, hits=364
11-20 14:46:Logons=1, hits=16
11-20 14:50:Logons=2, hits=14
11-20 14:52:Logons=0, hits=0
11-20 15:00:Logons=1, hits=21
11-20 15:00:Logons=0, hits=0
11-20 15:04:Logons=1, hits=18
11-20 15:04:Logons=0, hits=0
11-20 16:13:Logons=1, hits=24
11-20 16:13:Logons=0, hits=0
11-21 10:15:Logons=9, hits=689
11-24 13:39:Logons=15, hits=890
11-25 10:18:Logons=3, hits=289
11-27 08:53:Logons=40, hits=523
11-28 10:45:Logons=1, hits=23
12-01 11:18:Logons=5, hits=78
12-02 16:01:Logons=37, hits=545
12-03 14:36:Logons=16, hits=309
12-04 13:23:Logons=20, hits=402
12-07 09:23:Logons=24, hits=1659
12-08 09:07:Logons=9, hits=298
12-08 12:54:Logons=8, hits=355
12-08 12:57:Logons=0, hits=13
12-09 11:36:Logons=2, hits=28
12-10 12:34:Logons=6, hits=253
12-13 22:59:Logons=6, hits=819
12-14 09:18:Logons=1, hits=13
12-15 14:41:Logons=6, hits=267
12-16 18:21:Logons=0, hits=3
12-17 15:54:Logons=3, hits=24
12-19 08:15:Logons=13, hits=357
12-20 21:58:Logons=2, hits=108
01-02 14:25:Logons=0, hits=0
01-08 15:51:Logons=0, hits=0
01-09 13:55:Logons=0, hits=0
01-10 16:32:Logons=13, hits=1782
